,Text,Ground-Truth,Rank,All-Ranks,Prediction,Candidates,LR-distances,LD-distances,LRD-distances,LARD-distances
4184,This is a meter.,measuring_tape_2_1,1,[1 3 2 0 4],stapler_5_4,"['measuring_tape_2_1' 'food_jar_3_2' 'toothpaste_4_2' 'stapler_5_4'
 'food_jar_5_2']",[0.46 0.58 0.49 0.36 0.66],[0.55 0.64 0.54 0.4  0.67],[0.51 0.61 0.52 0.38 0.66],[0.46 0.58 0.5  0.48 0.58]
4185,nan,measuring_tape_2_1,0,[0 3 4 2 1],measuring_tape_2_1,"['measuring_tape_2_1' 'tissue_box_1_3' 'bowl_1_4' 'syringe_4_1'
 'marker_3_1']",[0.32 0.47 0.54 0.35 0.41],[0.31 0.49 0.51 0.43 0.36],[0.32 0.48 0.52 0.39 0.39],[0.31 0.59 0.61 0.4  0.39]
4186,Silver metal measuring tape with retractor.,measuring_tape_2_1,0,[0 1 2 4 3],measuring_tape_2_1,"['measuring_tape_2_1' 'scissors_5_1' 'potato_1_1' 'water_bottle_2_4'
 'cell_phone_3_2']",[0.32 0.36 0.62 0.7  0.59],[0.31 0.44 0.63 0.73 0.67],[0.32 0.4  0.63 0.72 0.63],[0.33 0.35 0.59 0.79 0.56]
4187,A silver tape measure.,measuring_tape_2_1,0,[0 4 1 2 3],measuring_tape_2_1,"['measuring_tape_2_1' 'screwdriver_3_3' 'mouse_1_1' 'potato_1_1'
 'apple_4_4']",[0.34 0.58 0.39 0.6  0.58],[0.32 0.73 0.47 0.61 0.67],[0.33 0.66 0.43 0.61 0.63],[0.35 0.61 0.39 0.6  0.63]
4188,There is banana. The banana is on its side and has some dark spots.,banana_4_1,0,[0 4 2 3 1],banana_4_1,['banana_4_1' 'bowl_5_4' 'marker_6_3' 'allen_wrench_2_3' 'shampoo_2_2'],[0.22 0.59 0.61 0.62 0.5 ],[0.21 0.67 0.54 0.57 0.56],[0.21 0.63 0.57 0.6  0.53],[0.33 0.59 0.5  0.54 0.56]
4189,There is a light bulb. The bulb is spiral shaped.,lightbulb_1_4,0,[0 2 3 4 1],lightbulb_1_4,['lightbulb_1_4' 'lime_2_2' 'coffee_mug_2_1' 'hammer_4_2' 'can_opener_2_1'],[0.28 0.6  0.6  0.68 0.58],[0.46 0.55 0.57 0.77 0.57],[0.37 0.57 0.59 0.72 0.57],[0.37 0.55 0.53 0.68 0.51]
4190,It's an unpeeled banana.,banana_4_1,0,[0 2 3 1 4],banana_4_1,['banana_4_1' 'food_can_2_2' 'shampoo_4_2' 'can_opener_4_1' 'pencil_1_3'],[0.18 0.58 0.68 0.58 0.63],[0.21 0.48 0.69 0.42 0.8 ],[0.19 0.53 0.68 0.5  0.71],[0.21 0.49 0.75 0.5  0.78]
4191,this is a white plastic bottle with a silver top.,lightbulb_1_4,0,[0 4 1 3 2],lightbulb_1_4,"['lightbulb_1_4' 'food_can_1_4' 'cell_phone_1_2' 'fork_3_4'
 'can_opener_4_4']",[0.56 0.76 0.56 0.62 0.57],[0.58 0.79 0.59 0.72 0.61],[0.57 0.77 0.57 0.67 0.59],[0.48 0.73 0.61 0.68 0.54]
4192,Banana which is a good fruit for you.,banana_4_1,0,[0 1 3 4 2],banana_4_1,"['banana_4_1' 'bell_pepper_2_1' 'picture_frame_5_1' 'toothpaste_1_3'
 'flashlight_2_1']",[0.28 0.47 0.73 0.79 0.67],[0.31 0.47 0.71 0.78 0.6 ],[0.29 0.47 0.72 0.79 0.63],[0.22 0.5  0.76 0.75 0.66]
4193,Light bulbs are used to brighten up an area.,lightbulb_1_4,0,[0 4 2 3 1],lightbulb_1_4,['lightbulb_1_4' 'marker_5_2' 'bowl_4_2' 'pliers_1_3' 'water_bottle_5_1'],[0.38 0.56 0.52 0.55 0.52],[0.6  0.76 0.52 0.55 0.5 ],[0.49 0.66 0.52 0.55 0.51],[0.51 0.64 0.58 0.54 0.51]
4194,The banana is ripe and ready to eat.,banana_4_1,0,[0 1 3 2 4],banana_4_1,['banana_4_1' 'food_can_5_2' 'toothpaste_5_2' 'lemon_1_4' 'book_2_4'],[0.22 0.47 0.59 0.52 0.79],[0.2  0.52 0.78 0.55 0.82],[0.21 0.49 0.68 0.53 0.8 ],[0.32 0.51 0.65 0.45 0.73]
4195,nan,lightbulb_1_4,3,[3 1 0 4 2],food_jar_3_2,"['lightbulb_1_4' 'pencil_5_2' 'food_jar_3_2' 'bell_pepper_2_1'
 'measuring_tape_3_4']",[0.44 0.4  0.37 0.48 0.38],[0.4  0.34 0.36 0.43 0.37],[0.42 0.37 0.37 0.46 0.38],[0.4  0.42 0.46 0.47 0.45]
4196,This is a single banana with a few small dark spots on it.,banana_4_1,0,[0 1 4 2 3],banana_4_1,"['banana_4_1' 'bell_pepper_1_1' 'pencil_4_4' 'screwdriver_4_3'
 'toothbrush_5_3']",[0.17 0.48 0.68 0.56 0.68],[0.18 0.49 0.7  0.68 0.64],[0.18 0.48 0.69 0.62 0.66],[0.21 0.42 0.65 0.64 0.65]
4197,This is a spiral design energy-efficient light bulb.,lightbulb_1_4,0,[0 2 1 4 3],lightbulb_1_4,"['lightbulb_1_4' 'food_jar_5_2' 'picture_frame_5_3' 'sponge_2_4'
 'pliers_5_3']",[0.35 0.55 0.52 0.72 0.6 ],[0.53 0.59 0.5  0.76 0.71],[0.44 0.57 0.51 0.74 0.66],[0.43 0.51 0.54 0.73 0.68]
4198,A ripe yellow banana that has a long stem and some minor imperfections on the peeling.,banana_4_1,0,[0 2 3 4 1],banana_4_1,['banana_4_1' 'soda_bottle_5_2' 'screwdriver_1_3' 'fork_4_2' 'hammer_6_2'],[0.2  0.73 0.74 0.93 0.68],[0.2  0.62 0.66 0.76 0.52],[0.2  0.68 0.7  0.84 0.6 ],[0.31 0.62 0.58 0.71 0.54]
4199,nan,lightbulb_1_4,1,[1 3 4 2 0],allen_wrench_1_4,"['lightbulb_1_4' 'soda_bottle_2_4' 'plate_1_2' 'coffee_mug_5_2'
 'allen_wrench_1_4']",[0.44 0.5  0.58 0.43 0.26],[0.4  0.52 0.51 0.58 0.33],[0.42 0.51 0.54 0.51 0.3 ],[0.5  0.54 0.62 0.53 0.37]
4200,It is a yellow banana with brown spots on it.,banana_4_1,0,[0 4 1 3 2],banana_4_1,"['banana_4_1' 'pliers_4_1' 'lightbulb_4_3' 'marker_1_2'
 'picture_frame_1_2']",[0.15 0.78 0.64 0.72 0.59],[0.14 0.82 0.46 0.68 0.66],[0.14 0.8  0.55 0.7  0.63],[0.17 0.82 0.52 0.74 0.64]
4201,It is a spiral style lightbulb.,lightbulb_1_4,0,[0 1 3 2 4],lightbulb_1_4,"['lightbulb_1_4' 'pencil_3_4' 'pencil_5_2' 'bell_pepper_3_1'
 'toothbrush_4_1']",[0.31 0.59 0.63 0.6  0.54],[0.47 0.6  0.62 0.61 0.76],[0.39 0.6  0.63 0.61 0.65],[0.4  0.61 0.62 0.63 0.62]
4202,"A curved, yellow fruit with a long stem. Its surface is waxy.",banana_4_1,0,[0 2 4 1 3],banana_4_1,"['banana_4_1' 'hammer_5_1' 'prescription_medicine_bottle_2_4'
 'pill_cutter_1_4' 'pencil_5_2']",[0.28 0.69 0.74 0.52 0.63],[0.26 0.53 0.75 0.66 0.65],[0.27 0.61 0.75 0.59 0.64],[0.22 0.65 0.82 0.61 0.65]
4203,A tightly coiled white glass spiral with a metal stem.,lightbulb_1_4,1,[1 4 2 3 0],bell_pepper_2_2,['lightbulb_1_4' 'cap_2_2' 'bowl_2_3' 'scissors_5_1' 'bell_pepper_2_2'],[0.51 0.53 0.5  0.53 0.41],[0.45 0.57 0.51 0.53 0.53],[0.48 0.55 0.51 0.53 0.47],[0.43 0.49 0.44 0.59 0.47]
4204,This is a single yellow banana.,banana_4_1,0,[0 2 1 3 4],banana_4_1,['banana_4_1' 'apple_1_5' 'marker_6_3' 'cell_phone_2_2' 'book_2_4'],[0.16 0.58 0.6  0.75 0.84],[0.18 0.63 0.5  0.72 0.86],[0.17 0.6  0.55 0.73 0.85],[0.35 0.58 0.5  0.64 0.6 ]
4205,This is a single compact fluorescent light bulb.,lightbulb_1_4,0,[0 3 1 4 2],lightbulb_1_4,['lightbulb_1_4' 'tissue_box_1_3' 'lime_5_3' 'potato_5_1' 'plate_2_1'],[0.37 0.61 0.52 0.59 0.54],[0.55 0.59 0.5  0.61 0.57],[0.46 0.6  0.51 0.6  0.55],[0.44 0.57 0.54 0.57 0.47]
4206,BANANA IS AN FRUIT.IT HELPS TO OUR BODY AS HEALTHY,banana_4_1,0,[0 3 4 2 1],banana_4_1,['banana_4_1' 'food_can_5_2' 'band_aid_2_4' 'plate_2_1' 'lemon_1_4'],[0.22 0.56 0.77 0.55 0.4 ],[0.22 0.58 0.81 0.59 0.39],[0.22 0.57 0.79 0.57 0.4 ],[0.22 0.51 0.75 0.57 0.34]
4207,nan,lightbulb_1_4,4,[4 1 3 0 2],toothpaste_2_4,"['lightbulb_1_4' 'prescription_medicine_bottle_2_4' 'eye_glasses_2_3'
 'toothpaste_2_4' 'toothpaste_3_4']",[0.44 0.37 0.47 0.37 0.38],[0.4  0.38 0.36 0.31 0.39],[0.42 0.38 0.41 0.34 0.38],[0.42 0.43 0.48 0.49 0.55]
4208,This is unripe tomato. It is green in color.,lime_4_2,3,[3 4 2 1 0],banana_2_3,"['lime_4_2' 'prescription_medicine_bottle_1_3' 'gauze_1_1' 'spoon_2_3'
 'banana_2_3']",[0.53 0.54 0.49 0.46 0.44],[0.52 0.59 0.53 0.42 0.42],[0.53 0.56 0.51 0.44 0.43],[0.38 0.55 0.45 0.46 0.44]
4209,This is a lime,lime_4_2,0,[0 1 3 2 4],lime_4_2,"['lime_4_2' 'allen_wrench_1_4' 'prescription_medicine_bottle_3_3'
 'lightbulb_3_3' 'food_can_2_1']",[0.19 0.45 0.59 0.46 0.69],[0.13 0.48 0.64 0.65 0.63],[0.16 0.46 0.61 0.56 0.66],[0.15 0.54 0.68 0.55 0.74]
4210,This is a small lime that is yellowish on one spot.,lime_4_2,0,[0 1 2 4 3],lime_4_2,"['lime_4_2' 'stapler_3_2' 'water_bottle_2_3' 'can_opener_5_4'
 'food_jar_3_2']",[0.17 0.62 0.57 0.64 0.58],[0.15 0.59 0.67 0.65 0.69],[0.16 0.61 0.62 0.65 0.64],[0.21 0.6  0.63 0.62 0.63]
4211,This is a small green fruit.,lime_4_2,0,[0 1 2 3 4],lime_4_2,"['lime_4_2' 'potato_3_4' 'bell_pepper_3_1' 'allen_wrench_2_3'
 'syringe_1_1']",[0.21 0.57 0.48 0.53 0.57],[0.21 0.36 0.5  0.52 0.54],[0.21 0.46 0.49 0.53 0.55],[0.28 0.4  0.53 0.43 0.46]
4212,It is a yellow green lime.,lime_4_2,0,[0 4 1 2 3],lime_4_2,"['lime_4_2' 'fork_5_1' 'flashlight_2_1' 'measuring_tape_5_2'
 'measuring_tape_5_2']",[0.13 0.71 0.67 0.63 0.63],[0.13 0.72 0.7  0.74 0.74],[0.13 0.72 0.68 0.68 0.68],[0.31 0.64 0.58 0.63 0.63]
4213,This is a green lime.,lime_4_2,0,[0 3 1 2 4],lime_4_2,"['lime_4_2' 'soda_bottle_4_3' 'bowl_4_2' 'medicine_bottle_5_2'
 'picture_frame_2_1']",[0.17 0.66 0.49 0.68 0.63],[0.13 0.63 0.51 0.58 0.7 ],[0.15 0.65 0.5  0.63 0.66],[0.17 0.65 0.59 0.65 0.65]
4214,A green citrus fruit called a lime. It is very small and round.,lime_4_2,0,[0 4 1 2 3],lime_4_2,['lime_4_2' 'book_3_1' 'eye_glasses_3_4' 'hammer_3_3' 'scissors_1_3'],[0.14 0.78 0.55 0.59 0.72],[0.12 0.81 0.54 0.7  0.81],[0.13 0.8  0.54 0.64 0.77],[0.38 0.7  0.52 0.64 0.7 ]
4215,The bottom of a green lime of normal size.,lime_4_2,0,[0 2 3 4 1],lime_4_2,"['lime_4_2' 'can_opener_4_1' 'coffee_mug_3_1' 'picture_frame_5_1'
 'bell_pepper_3_1']",[0.15 0.63 0.72 0.76 0.54],[0.16 0.58 0.68 0.68 0.54],[0.16 0.6  0.7  0.72 0.54],[0.15 0.68 0.73 0.74 0.56]
4216,This object is a green lime.  We use this for food and to flavor drinks sometimes.,lime_4_2,0,[0 3 2 4 1],lime_4_2,['lime_4_2' 'band_aid_4_2' 'hammer_6_2' 'potato_5_1' 'can_opener_3_4'],[0.21 0.78 0.67 0.85 0.54],[0.17 0.72 0.71 0.8  0.63],[0.19 0.75 0.69 0.82 0.58],[0.43 0.65 0.69 0.67 0.61]
4217,IT IS A EDIBLE FRUIT WHICH CONTAINS MORE VITAMINS ANS PROTEINS,lime_4_2,0,[0 2 3 4 1],lime_4_2,['lime_4_2' 'hand_towel_3_4' 'hammer_5_1' 'band_aid_2_4' 'eye_glasses_3_4'],[0.28 0.73 0.68 0.82 0.63],[0.32 0.65 0.75 0.87 0.6 ],[0.3  0.69 0.71 0.84 0.62],[0.31 0.75 0.7  0.73 0.52]
4218,A black picture frame viewed from the side.,picture_frame_5_3,0,[0 1 4 3 2],picture_frame_5_3,"['picture_frame_5_3' 'coffee_mug_5_2' 'food_jar_5_2' 'spoon_2_3'
 'apple_2_3']",[0.34 0.58 0.73 0.74 0.79],[0.32 0.44 0.8  0.75 0.68],[0.33 0.51 0.76 0.75 0.74],[0.34 0.5  0.76 0.74 0.76]
4219,A small silver L-wrench.,allen_wrench_2_3,0,[0 2 1 4 3],allen_wrench_2_3,"['allen_wrench_2_3' 'soda_bottle_2_4' 'spoon_5_4' 'lightbulb_3_3'
 'potato_2_1']",[0.36 0.7  0.46 0.69 0.78],[0.29 0.66 0.33 0.72 0.6 ],[0.32 0.68 0.39 0.7  0.69],[0.31 0.71 0.44 0.73 0.75]
4220,This is the side view of a black picture frame.,picture_frame_5_3,0,[0 1 2 3 4],picture_frame_5_3,"['picture_frame_5_3' 'prescription_medicine_bottle_1_3' 'marker_3_1'
 'toothpaste_5_2' 'potato_3_4']",[0.39 0.67 0.7  0.73 0.75],[0.29 0.53 0.58 0.8  0.78],[0.34 0.6  0.64 0.77 0.77],[0.37 0.51 0.51 0.65 0.69]
4221,This is a white flip-top style cellphone.,allen_wrench_2_3,1,[1 2 0 4 3],scissors_1_3,"['allen_wrench_2_3' 'eye_glasses_4_1' 'scissors_1_3' 'toothpaste_5_2'
 'screwdriver_5_4']",[0.57 0.6  0.53 0.62 0.62],[0.44 0.46 0.46 0.64 0.49],[0.5  0.53 0.49 0.63 0.56],[0.41 0.54 0.48 0.52 0.55]
4222,This is a black picture frame.,picture_frame_5_3,0,[0 1 2 3 4],picture_frame_5_3,['picture_frame_5_3' 'cap_2_2' 'fork_2_3' 'gauze_2_2' 'food_jar_2_3'],[0.33 0.49 0.55 0.7  0.76],[0.3  0.6  0.58 0.51 0.8 ],[0.31 0.54 0.56 0.6  0.78],[0.31 0.57 0.52 0.57 0.71]
4223,This is a metal screwdriver.,allen_wrench_2_3,1,[1 3 4 0 2],banana_5_4,"['allen_wrench_2_3' 'banana_4_1' 'mouse_3_3' 'banana_5_4'
 'soda_bottle_2_4']",[0.64 0.64 0.81 0.42 0.66],[0.65 0.73 0.72 0.52 0.64],[0.64 0.69 0.76 0.47 0.65],[0.49 0.73 0.81 0.57 0.71]
4224,It’s a picture frame for a photo approximately 5x7 in size. Kick stand on back for easy display or can be hung on a wall.,picture_frame_5_3,0,[0 2 4 3 1],picture_frame_5_3,['picture_frame_5_3' 'book_5_4' 'lime_2_3' 'pliers_3_4' 'coffee_mug_3_1'],[0.49 0.6  0.65 0.61 0.54],[0.47 0.56 0.64 0.62 0.5 ],[0.48 0.58 0.65 0.61 0.52],[0.43 0.63 0.67 0.56 0.57]
4225,It’s an Allen wrench. Used to tighten or loosen bolts or screws that fit the shape end of the wrench.,allen_wrench_2_3,0,[0 4 2 3 1],allen_wrench_2_3,"['allen_wrench_2_3' 'toothpaste_2_4' 'pliers_1_3' 'shampoo_5_2'
 'screwdriver_5_1']",[0.52 0.58 0.48 0.58 0.55],[0.46 0.53 0.58 0.51 0.48],[0.49 0.56 0.53 0.54 0.52],[0.44 0.43 0.51 0.5  0.53]
4226,This stand can be used on horizontal surfaces while using your mobile phone (hands free).,picture_frame_5_3,1,[1 4 2 3 0],scissors_4_1,"['picture_frame_5_3' 'screwdriver_2_1' 'bell_pepper_5_1' 'band_aid_1_1'
 'scissors_4_1']",[0.57 0.67 0.6  0.66 0.5 ],[0.5  0.59 0.6  0.58 0.47],[0.54 0.63 0.6  0.62 0.49],[0.46 0.68 0.69 0.54 0.53]
4227,nan,allen_wrench_2_3,3,[3 4 1 2 0],picture_frame_4_2,"['allen_wrench_2_3' 'coffee_mug_5_2' 'scissors_2_3' 'band_aid_1_1'
 'picture_frame_4_2']",[0.51 0.47 0.49 0.47 0.48],[0.49 0.58 0.44 0.48 0.44],[0.5  0.52 0.47 0.48 0.46],[0.48 0.54 0.45 0.51 0.48]
4228,A black picture frame turned to the side.,picture_frame_5_3,0,[0 4 3 2 1],picture_frame_5_3,"['picture_frame_5_3' 'lime_4_2' 'pencil_1_3' 'eye_glasses_4_1'
 'marker_3_1']",[0.47 0.68 0.64 0.54 0.57],[0.48 0.59 0.59 0.61 0.48],[0.48 0.63 0.61 0.57 0.52],[0.4  0.67 0.69 0.57 0.54]
4229,One very thick allen wrench.,allen_wrench_2_3,0,[0 4 2 1 3],allen_wrench_2_3,"['allen_wrench_2_3' 'book_2_4' 'onion_4_4' 'measuring_tape_5_1'
 'soda_bottle_1_1']",[0.41 0.63 0.6  0.47 0.61],[0.37 0.64 0.46 0.48 0.63],[0.39 0.63 0.53 0.48 0.62],[0.36 0.7  0.54 0.45 0.64]
4230,It is a side view of a black photo frame with stand to hold it upright.,picture_frame_5_3,0,[0 3 2 4 1],picture_frame_5_3,"['picture_frame_5_3' 'pliers_2_3' 'prescription_medicine_bottle_3_4'
 'spoon_1_3' 'eye_glasses_2_1']",[0.47 0.67 0.53 0.59 0.56],[0.42 0.56 0.53 0.66 0.42],[0.44 0.62 0.53 0.63 0.49],[0.4  0.63 0.53 0.65 0.52]
4231,It is something small and white.,allen_wrench_2_3,0,[0 3 4 2 1],allen_wrench_2_3,"['allen_wrench_2_3' 'notebook_2_3' 'banana_2_3' 'screwdriver_3_3'
 'stapler_1_1']",[0.46 0.53 0.52 0.47 0.49],[0.5  0.58 0.64 0.55 0.5 ],[0.48 0.55 0.58 0.51 0.5 ],[0.41 0.55 0.61 0.46 0.51]
4232,This is a black picture frame.,picture_frame_5_3,3,[3 0 1 4 2],hand_towel_2_3,"['picture_frame_5_3' 'hand_towel_2_3' 'toothbrush_5_3' 'bell_pepper_3_1'
 'hammer_3_3']",[0.51 0.44 0.48 0.63 0.46],[0.48 0.46 0.44 0.63 0.47],[0.49 0.45 0.46 0.63 0.46],[0.44 0.56 0.54 0.74 0.59]
4233,This is a white flash drive.,allen_wrench_2_3,3,[3 0 1 4 2],sponge_2_4,"['allen_wrench_2_3' 'sponge_2_4' 'plate_2_1' 'toothpaste_2_4'
 'shampoo_2_2']",[0.61 0.49 0.5  0.61 0.53],[0.54 0.51 0.54 0.58 0.55],[0.57 0.5  0.52 0.59 0.54],[0.44 0.54 0.64 0.61 0.6 ]
4234,A black picture frame that has a stand in the back and is capable of holding one picture.,picture_frame_5_3,0,[0 4 3 1 2],picture_frame_5_3,"['picture_frame_5_3' 'onion_5_1' 'bell_pepper_1_1' 'stapler_2_3'
 'allen_wrench_2_3']",[0.49 0.58 0.56 0.46 0.55],[0.48 0.56 0.5  0.55 0.49],[0.48 0.57 0.53 0.5  0.52],[0.41 0.68 0.58 0.47 0.58]
4235,"A single, silver L wrench.",allen_wrench_2_3,1,[1 4 0 2 3],cap_2_2,['allen_wrench_2_3' 'bowl_4_2' 'cap_2_2' 'lightbulb_1_4' 'book_1_4'],[0.52 0.61 0.54 0.53 0.6 ],[0.51 0.61 0.48 0.53 0.48],[0.51 0.61 0.51 0.53 0.54],[0.39 0.62 0.64 0.63 0.6 ]
4236,nan,picture_frame_5_3,1,[1 2 4 3 0],scissors_3_3,['picture_frame_5_3' 'gauze_1_1' 'apple_1_2' 'food_can_2_1' 'scissors_3_3'],[0.44 0.52 0.5  0.47 0.35],[0.45 0.39 0.51 0.49 0.46],[0.44 0.45 0.51 0.48 0.41],[0.43 0.51 0.61 0.56 0.44]
4237,nan,allen_wrench_2_3,0,[0 1 4 2 3],allen_wrench_2_3,"['allen_wrench_2_3' 'toothbrush_2_1' 'lime_3_1' 'apple_1_2'
 'toothbrush_4_2']",[0.46 0.55 0.53 0.45 0.56],[0.4  0.45 0.56 0.54 0.48],[0.43 0.5  0.55 0.5  0.52],[0.35 0.51 0.49 0.48 0.55]
4238,A blue ceramic cereal bowl.,bowl_2_3,2,[2 3 1 4 0],prescription_medicine_bottle_1_3,"['bowl_2_3' 'medicine_bottle_3_4' 'syringe_1_1'
 'prescription_medicine_bottle_3_3' 'prescription_medicine_bottle_1_3']",[0.56 0.58 0.58 0.59 0.54],[0.55 0.54 0.53 0.54 0.51],[0.56 0.56 0.55 0.56 0.53],[0.51 0.5  0.54 0.52 0.51]
4239,There is a ceramic bowl. The bowl is blue.,bowl_2_3,0,[0 2 1 4 3],bowl_2_3,"['bowl_2_3' 'flashlight_2_1' 'coffee_mug_3_1' 'measuring_tape_2_4'
 'spoon_2_3']",[0.44 0.54 0.43 0.58 0.54],[0.39 0.48 0.48 0.54 0.53],[0.41 0.51 0.46 0.56 0.53],[0.35 0.48 0.37 0.53 0.53]
4240,A blue ceramic bowl.,bowl_2_3,0,[0 4 2 3 1],bowl_2_3,['bowl_2_3' 'apple_1_5' 'soda_bottle_1_1' 'cell_phone_2_2' 'spoon_4_2'],[0.43 0.71 0.59 0.62 0.57],[0.45 0.68 0.54 0.61 0.53],[0.44 0.7  0.56 0.61 0.55],[0.4  0.69 0.56 0.55 0.62]
4241,"This is a blue, ceramic cereal or soup bowl.",bowl_2_3,0,[0 4 3 1 2],bowl_2_3,['bowl_2_3' 'water_bottle_5_4' 'marker_4_3' 'scissors_3_3' 'stapler_2_3'],[0.49 0.63 0.53 0.54 0.52],[0.55 0.63 0.62 0.54 0.57],[0.52 0.63 0.57 0.54 0.55],[0.43 0.56 0.53 0.59 0.53]
4242,It’s a blue serving or mixing bowl.,bowl_2_3,2,[2 4 3 1 0],measuring_tape_4_1,['bowl_2_3' 'lime_5_3' 'apple_2_3' 'lightbulb_3_1' 'measuring_tape_4_1'],[0.53 0.54 0.58 0.53 0.47],[0.52 0.58 0.52 0.5  0.52],[0.53 0.56 0.55 0.51 0.5 ],[0.36 0.58 0.6  0.5  0.54]
4243,A sky blue ceramic bowl with a curved rim.,bowl_2_3,2,[2 3 4 0 1],mouse_2_3,['bowl_2_3' 'pencil_1_3' 'lime_5_3' 'mouse_2_3' 'bell_pepper_2_2'],[0.52 0.62 0.68 0.45 0.45],[0.47 0.62 0.7  0.43 0.51],[0.49 0.62 0.69 0.44 0.48],[0.4  0.65 0.68 0.48 0.49]
4244,This is a blue bowl.,bowl_2_3,1,[1 4 0 3 2],potato_2_1,['bowl_2_3' 'picture_frame_4_4' 'potato_2_1' 'gauze_1_1' 'can_opener_4_4'],[0.51 0.62 0.43 0.62 0.52],[0.45 0.55 0.43 0.53 0.51],[0.48 0.59 0.43 0.57 0.51],[0.41 0.55 0.44 0.48 0.5 ]
4245,a royal blue medium sized shiny cereal bowl,bowl_2_3,0,[0 3 1 4 2],bowl_2_3,['bowl_2_3' 'band_aid_4_2' 'lightbulb_3_3' 'marker_4_4' 'pencil_4_4'],[0.5  0.69 0.59 0.64 0.59],[0.45 0.55 0.53 0.63 0.6 ],[0.47 0.62 0.56 0.63 0.6 ],[0.41 0.52 0.54 0.65 0.65]
4246,"A blue, glossy bowl that you would use to eat food such as cereal or soup.",bowl_2_3,0,[0 4 1 2 3],bowl_2_3,"['bowl_2_3' 'water_bottle_5_4' 'potato_1_1' 'pill_cutter_1_4'
 'allen_wrench_2_2']",[0.51 0.59 0.49 0.51 0.52],[0.5  0.53 0.53 0.55 0.56],[0.5  0.56 0.51 0.53 0.54],[0.42 0.47 0.45 0.47 0.53]
4247,This is a deep blue bowl.,bowl_2_3,0,[0 3 2 1 4],bowl_2_3,['bowl_2_3' 'plate_3_4' 'can_opener_2_1' 'picture_frame_5_3' 'apple_3_4'],[0.51 0.55 0.56 0.53 0.61],[0.51 0.51 0.5  0.49 0.61],[0.51 0.53 0.53 0.51 0.61],[0.35 0.44 0.6  0.58 0.62]
4248,A small cleaned potato is laying on its' side.,potato_4_1,3,[3 4 2 1 0],lightbulb_1_4,"['potato_4_1' 'apple_5_4' 'prescription_medicine_bottle_1_3'
 'lightbulb_5_2' 'lightbulb_1_4']",[0.63 0.68 0.61 0.71 0.55],[0.64 0.68 0.62 0.52 0.56],[0.63 0.68 0.61 0.61 0.56],[0.43 0.66 0.67 0.67 0.47]
4249,This is a yellow potato.,potato_4_1,0,[0 3 4 2 1],potato_4_1,"['potato_4_1' 'eye_glasses_1_2' 'spoon_1_3' 'food_can_1_4'
 'pill_cutter_1_4']",[0.43 0.64 0.61 0.5  0.41],[0.43 0.62 0.67 0.48 0.53],[0.43 0.63 0.64 0.49 0.47],[0.41 0.68 0.73 0.47 0.48]
4250,"This is a small, brown potato.",potato_4_1,0,[0 1 2 4 3],potato_4_1,"['potato_4_1' 'apple_3_4' 'soda_bottle_1_1' 'allen_wrench_5_2'
 'hand_towel_1_4']",[0.45 0.52 0.56 0.56 0.58],[0.46 0.44 0.52 0.6  0.55],[0.46 0.48 0.54 0.58 0.57],[0.4  0.42 0.49 0.61 0.52]
4251,This is a small lumpy unpeeled raw potato.,potato_4_1,0,[0 3 4 1 2],potato_4_1,"['potato_4_1' 'hammer_4_2' 'toothbrush_3_3' 'medicine_bottle_1_4'
 'screwdriver_1_3']",[0.43 0.61 0.65 0.57 0.56],[0.45 0.65 0.63 0.51 0.54],[0.44 0.63 0.64 0.54 0.55],[0.43 0.65 0.72 0.6  0.64]
4252,This is a russet potato.,potato_4_1,0,[0 2 3 1 4],potato_4_1,"['potato_4_1' 'notebook_2_4' 'hand_towel_3_4' 'allen_wrench_1_4'
 'hand_towel_3_4']",[0.44 0.52 0.6  0.55 0.6 ],[0.43 0.57 0.57 0.54 0.57],[0.44 0.55 0.58 0.55 0.58],[0.32 0.58 0.62 0.68 0.62]
4253,It is a medium sized White potato.,potato_4_1,0,[0 1 3 4 2],potato_4_1,['potato_4_1' 'plate_3_1' 'mouse_2_3' 'band_aid_1_4' 'pencil_1_1'],[0.38 0.51 0.56 0.56 0.56],[0.41 0.49 0.65 0.69 0.6 ],[0.39 0.5  0.61 0.62 0.58],[0.3  0.51 0.64 0.68 0.68]
4254,It is a raw potato,potato_4_1,1,[1 0 4 2 3],toothbrush_4_2,['potato_4_1' 'toothbrush_4_2' 'pencil_5_2' 'lemon_4_4' 'lime_4_2'],[0.51 0.58 0.64 0.51 0.6 ],[0.51 0.43 0.57 0.54 0.58],[0.51 0.51 0.61 0.52 0.59],[0.36 0.63 0.71 0.51 0.7 ]
4255,i cut my little finger peeling potatoes,potato_4_1,2,[2 3 4 1 0],can_opener_4_1,['potato_4_1' 'gauze_2_2' 'shampoo_4_2' 'toothpaste_5_2' 'can_opener_4_1'],[0.52 0.61 0.62 0.47 0.55],[0.52 0.6  0.6  0.55 0.46],[0.52 0.61 0.61 0.51 0.5 ],[0.54 0.61 0.59 0.53 0.51]
