,Text,Ground-Truth,Rank,All-Ranks,Prediction,Candidates,LR-distances,LD-distances,LRD-distances,ARD-distances,LARD-distances
4142,"This is a pair of glasses, they are a thicker type of frame.",eye_glasses_1_2,0,[0 2 3 4 1],eye_glasses_1_2,"['eye_glasses_1_2' 'food_can_2_2' 'pencil_1_1' 'marker_5_2'
 'can_opener_3_4']",[0.14 0.49 0.49 0.68 0.51],[0.23 0.57 0.65 0.54 0.31],[0.19 0.53 0.57 0.61 0.41],[0.42 0.58 0.33 0.38 0.43],[0.3  0.55 0.45 0.49 0.42]
4143,It is a pair of glasses.,eye_glasses_1_2,0,[0 2 4 1 3],eye_glasses_1_2,"['eye_glasses_1_2' 'toothbrush_5_3' 'shampoo_3_1' 'scissors_4_1'
 'lightbulb_5_2']",[0.15 0.65 0.6  0.36 0.56],[0.22 0.51 0.7  0.37 0.65],[0.18 0.58 0.65 0.36 0.6 ],[0.28 0.48 0.66 0.43 0.47],[0.23 0.53 0.65 0.4  0.54]
4144,A pair of rectangular black glasses.,eye_glasses_1_2,0,[0 3 2 1 4],eye_glasses_1_2,"['eye_glasses_1_2' 'flashlight_3_4' 'pencil_2_1' 'flashlight_2_1'
 'marker_2_1']",[0.13 0.53 0.52 0.38 0.6 ],[0.21 0.56 0.53 0.45 0.5 ],[0.17 0.54 0.53 0.42 0.55],[0.26 0.53 0.56 0.36 0.57],[0.22 0.54 0.54 0.39 0.56]
4145,This item you wear on your face to help you see. Some people may wear this item on their face all the time to see objects or some people only wear them for reading or driving.,eye_glasses_1_2,0,[0 1 2 4 3],eye_glasses_1_2,"['eye_glasses_1_2' 'stapler_2_3' 'notebook_1_1' 'onion_3_4'
 'picture_frame_4_2']",[0.3  0.43 0.32 0.52 0.38],[0.27 0.31 0.46 0.61 0.53],[0.29 0.37 0.39 0.56 0.46],[0.24 0.49 0.65 0.86 0.49],[0.26 0.43 0.52 0.71 0.47]
4146,The object is a pair of eyeglasses with black frames.,eye_glasses_1_2,0,[0 1 3 2 4],eye_glasses_1_2,"['eye_glasses_1_2' 'syringe_5_1' 'shampoo_2_2' 'picture_frame_4_4'
 'pencil_3_4']",[0.14 0.49 0.59 0.53 0.57],[0.23 0.52 0.61 0.54 0.67],[0.18 0.51 0.6  0.53 0.62],[0.2  0.45 0.56 0.48 0.53],[0.19 0.48 0.58 0.51 0.58]
4147,There a re a pair of glasses. The glasses look like readers.,eye_glasses_1_2,0,[0 4 1 2 3],eye_glasses_1_2,"['eye_glasses_1_2' 'food_jar_1_3' 'toothbrush_1_1' 'fork_1_2'
 'band_aid_5_3']",[0.16 0.54 0.48 0.45 0.5 ],[0.22 0.59 0.46 0.55 0.55],[0.19 0.56 0.47 0.5  0.53],[0.23 0.67 0.53 0.48 0.64],[0.21 0.62 0.5  0.49 0.58]
4148,Russet pototo,potato_1_1,0,[0 1 3 4 2],potato_1_1,"['potato_1_1' 'food_jar_5_2' 'can_opener_3_4' 'lightbulb_5_2'
 'can_opener_4_1']",[0.33 0.39 0.58 0.64 0.5 ],[0.34 0.4  0.51 0.49 0.46],[0.34 0.4  0.54 0.56 0.48],[0.25 0.53 0.73 0.49 0.6 ],[0.29 0.47 0.64 0.53 0.54]
4149,This is a small potato. It is brown and has many visible deep eyes.,potato_1_1,0,[0 3 4 1 2],potato_1_1,['potato_1_1' 'lemon_2_4' 'lime_2_2' 'syringe_5_1' 'marker_3_1'],[0.2  0.53 0.58 0.48 0.58],[0.13 0.57 0.57 0.42 0.44],[0.17 0.55 0.58 0.45 0.51],[0.41 0.64 0.65 0.57 0.59],[0.29 0.59 0.61 0.51 0.55]
4150,This is a potato.,potato_1_1,0,[0 4 2 3 1],potato_1_1,['potato_1_1' 'hammer_6_2' 'gauze_2_2' 'hammer_1_3' 'picture_frame_2_1'],[0.2  0.65 0.61 0.57 0.56],[0.08 0.67 0.5  0.59 0.52],[0.14 0.66 0.55 0.58 0.54],[0.47 0.47 0.66 0.47 0.57],[0.3  0.56 0.61 0.53 0.55]
4151,I see an potato on the table.,potato_1_1,0,[0 4 3 2 1],potato_1_1,"['potato_1_1' 'pliers_5_3' 'allen_wrench_5_2' 'soda_bottle_4_1'
 'plate_2_1']",[0.22 0.65 0.51 0.51 0.39],[0.13 0.51 0.58 0.46 0.38],[0.17 0.58 0.54 0.49 0.39],[0.3  0.58 0.56 0.31 0.51],[0.23 0.58 0.55 0.4  0.45]
4152,That is a potato. It’s brown and appears there is only one.of them,potato_1_1,0,[0 2 3 1 4],potato_1_1,['potato_1_1' 'band_aid_5_3' 'pliers_5_3' 'syringe_3_1' 'water_bottle_3_3'],[0.29 0.5  0.67 0.44 0.67],[0.17 0.55 0.55 0.44 0.58],[0.23 0.53 0.61 0.44 0.62],[0.51 0.26 0.53 0.5  0.54],[0.37 0.39 0.57 0.47 0.58]
4153,Idaho is known for these!,potato_1_1,0,[0 1 2 4 3],potato_1_1,"['potato_1_1' 'picture_frame_2_1' 'soda_bottle_5_2' 'measuring_tape_5_1'
 'measuring_tape_4_1']",[0.38 0.46 0.49 0.56 0.54],[0.39 0.35 0.4  0.57 0.56],[0.38 0.41 0.44 0.57 0.55],[0.23 0.48 0.53 0.56 0.5 ],[0.31 0.44 0.49 0.56 0.53]
4154,This is a medium potato,potato_1_1,0,[0 2 4 1 3],potato_1_1,['potato_1_1' 'food_can_3_2' 'eye_glasses_4_2' 'onion_3_4' 'pliers_5_3'],[0.24 0.62 0.79 0.22 0.68],[0.12 0.58 0.7  0.27 0.55],[0.18 0.6  0.74 0.25 0.61],[0.2  0.59 0.72 0.27 0.69],[0.19 0.59 0.73 0.26 0.65]
4155,A large brown potato.,potato_1_1,0,[0 3 4 2 1],potato_1_1,"['potato_1_1' 'measuring_tape_1_1' 'food_can_5_2' 'lemon_2_4'
 'toothbrush_5_3']",[0.2  0.56 0.59 0.51 0.57],[0.1  0.64 0.61 0.55 0.44],[0.15 0.6  0.6  0.53 0.5 ],[0.29 0.49 0.45 0.49 0.42],[0.22 0.55 0.52 0.51 0.46]
4156,This is a potato.,potato_1_1,0,[0 2 3 4 1],potato_1_1,['potato_1_1' 'apple_5_4' 'apple_2_3' 'marker_6_3' 'stapler_2_3'],[0.2  0.43 0.55 0.62 0.28],[0.08 0.51 0.45 0.52 0.55],[0.14 0.47 0.5  0.57 0.41],[0.35 0.57 0.59 0.4  0.41],[0.25 0.52 0.55 0.49 0.41]
4157,This is a whole potato.,potato_1_1,0,[0 4 2 3 1],potato_1_1,['potato_1_1' 'toothpaste_3_4' 'bowl_1_4' 'lemon_1_4' 'lemon_3_4'],[0.22 0.59 0.31 0.33 0.36],[0.1  0.54 0.36 0.35 0.22],[0.16 0.56 0.33 0.34 0.29],[0.26 0.63 0.38 0.52 0.43],[0.21 0.6  0.36 0.43 0.36]
4158,A bottle with a yellow cap and label.,medicine_bottle_4_2,0,[0 1 2 4 3],medicine_bottle_4_2,"['medicine_bottle_4_2' 'shampoo_1_2' 'shampoo_5_2' 'flashlight_1_3'
 'allen_wrench_2_3']",[0.22 0.22 0.42 0.51 0.45],[0.17 0.43 0.27 0.61 0.48],[0.19 0.33 0.34 0.56 0.46],[0.41 0.57 0.51 0.37 0.32],[0.3  0.45 0.42 0.47 0.39]
4159,A Christmas themed dish towel.,hand_towel_3_4,0,[0 1 3 4 2],hand_towel_3_4,['hand_towel_3_4' 'hammer_1_3' 'potato_4_1' 'scissors_4_1' 'banana_4_1'],[0.27 0.45 0.46 0.45 0.45],[0.23 0.39 0.45 0.53 0.41],[0.25 0.42 0.46 0.49 0.43],[0.44 0.43 0.67 0.24 0.51],[0.34 0.43 0.56 0.36 0.47]
4160,Vitamin bottle with yellow lable.,medicine_bottle_4_2,0,[0 1 4 2 3],medicine_bottle_4_2,['medicine_bottle_4_2' 'bowl_4_2' 'book_3_1' 'hammer_1_3' 'band_aid_2_4'],[0.32 0.39 0.63 0.59 0.61],[0.31 0.41 0.64 0.62 0.63],[0.31 0.4  0.64 0.61 0.62],[0.3  0.45 0.5  0.62 0.54],[0.31 0.43 0.57 0.61 0.58]
4161,Kitchen towel with small images.,hand_towel_3_4,2,[2 1 3 0 4],plate_1_2,"['hand_towel_3_4' 'lightbulb_3_1' 'fork_2_3' 'plate_1_2'
 'water_bottle_2_4']",[0.42 0.43 0.46 0.37 0.49],[0.47 0.46 0.45 0.34 0.53],[0.45 0.45 0.45 0.36 0.51],[0.43 0.49 0.47 0.4  0.51],[0.44 0.47 0.46 0.38 0.51]
4162,Looks like a medicine bottle(could be syrup or tablets). Has a yellow lid. a yellow instruction cover. Has a yellow lid.,medicine_bottle_4_2,0,[0 2 4 3 1],medicine_bottle_4_2,"['medicine_bottle_4_2' 'marker_6_3' 'marker_4_4' 'measuring_tape_5_1'
 'water_bottle_2_3']",[0.25 0.45 0.39 0.4  0.39],[0.24 0.41 0.51 0.48 0.43],[0.25 0.43 0.45 0.44 0.41],[0.31 0.52 0.51 0.51 0.34],[0.28 0.48 0.48 0.48 0.37]
4163,This is a small towel. It is folded.,hand_towel_3_4,0,[0 3 4 1 2],hand_towel_3_4,['hand_towel_3_4' 'spoon_5_4' 'shampoo_2_2' 'bowl_3_2' 'banana_2_3'],[0.28 0.48 0.5  0.36 0.45],[0.33 0.52 0.59 0.45 0.46],[0.31 0.5  0.54 0.41 0.46],[0.53 0.54 0.53 0.56 0.46],[0.42 0.52 0.54 0.48 0.46]
4164,I see vitamins on the table.,medicine_bottle_4_2,0,[0 4 1 3 2],medicine_bottle_4_2,"['medicine_bottle_4_2' 'lemon_4_4' 'coffee_mug_4_3' 'scissors_2_3'
 'apple_1_2']",[0.29 0.44 0.29 0.42 0.33],[0.27 0.44 0.29 0.46 0.4 ],[0.28 0.44 0.29 0.44 0.37],[0.49 0.23 0.43 0.39 0.26],[0.38 0.34 0.36 0.42 0.31]
4165,I see an dish towel on the table.,hand_towel_3_4,0,[0 4 3 1 2],hand_towel_3_4,['hand_towel_3_4' 'marker_5_2' 'allen_wrench_4_3' 'bowl_2_3' 'mouse_2_3'],[0.28 0.51 0.46 0.32 0.41],[0.26 0.57 0.49 0.4  0.4 ],[0.27 0.54 0.48 0.36 0.41],[0.33 0.47 0.4  0.29 0.27],[0.3  0.5  0.44 0.33 0.34]
4166,This is a plastic pill bottle,medicine_bottle_4_2,0,[0 1 3 4 2],medicine_bottle_4_2,"['medicine_bottle_4_2' 'potato_3_4' 'stapler_4_4' 'coffee_mug_3_1'
 'picture_frame_5_3']",[0.23 0.4  0.52 0.48 0.44],[0.26 0.38 0.42 0.51 0.44],[0.25 0.39 0.47 0.5  0.44],[0.45 0.25 0.61 0.43 0.55],[0.35 0.32 0.54 0.46 0.5 ]
4167,This is a hand towel,hand_towel_3_4,0,[0 3 2 4 1],hand_towel_3_4,['hand_towel_3_4' 'toothbrush_2_1' 'toothpaste_4_2' 'lemon_4_4' 'bowl_3_2'],[0.25 0.5  0.42 0.51 0.34],[0.27 0.46 0.46 0.55 0.45],[0.26 0.48 0.44 0.53 0.4 ],[0.32 0.41 0.43 0.44 0.45],[0.29 0.45 0.44 0.48 0.42]
4168,This is the backside of a bottle of vitamins.,medicine_bottle_4_2,0,[0 1 4 2 3],medicine_bottle_4_2,"['medicine_bottle_4_2' 'water_bottle_5_1' 'bell_pepper_2_1' 'stapler_2_3'
 'pliers_2_3']",[0.26 0.26 0.59 0.41 0.53],[0.23 0.26 0.46 0.51 0.43],[0.25 0.26 0.53 0.46 0.48],[0.37 0.33 0.51 0.37 0.47],[0.31 0.29 0.52 0.42 0.47]
4169,This is a folded hand-towel with graphics on it.,hand_towel_3_4,0,[0 1 4 3 2],hand_towel_3_4,"['hand_towel_3_4' 'notebook_2_4' 'food_can_3_2' 'hammer_1_3'
 'measuring_tape_2_4']",[0.27 0.36 0.57 0.57 0.45],[0.37 0.45 0.53 0.48 0.56],[0.32 0.4  0.55 0.53 0.51],[0.29 0.38 0.45 0.26 0.5 ],[0.31 0.39 0.5  0.39 0.5 ]
4170,A black bottle of supplements with a yellow cap and label.,medicine_bottle_4_2,0,[0 2 3 4 1],medicine_bottle_4_2,"['medicine_bottle_4_2' 'syringe_3_1' 'marker_6_3' 'toothpaste_3_4'
 'food_can_3_2']",[0.21 0.49 0.53 0.58 0.34],[0.13 0.43 0.47 0.66 0.4 ],[0.17 0.46 0.5  0.62 0.37],[0.52 0.32 0.28 0.55 0.5 ],[0.35 0.39 0.39 0.58 0.43]
4171,A white dishrag with a red checkered design.,hand_towel_3_4,0,[0 3 1 4 2],hand_towel_3_4,"['hand_towel_3_4' 'screwdriver_3_3' 'syringe_5_3' 'lime_4_2'
 'lightbulb_3_3']",[0.38 0.36 0.38 0.57 0.46],[0.41 0.58 0.44 0.57 0.39],[0.39 0.47 0.41 0.57 0.42],[0.25 0.45 0.5  0.54 0.37],[0.32 0.46 0.46 0.55 0.4 ]
4172,It is a bottle of vitamins.,medicine_bottle_4_2,0,[0 1 3 4 2],medicine_bottle_4_2,"['medicine_bottle_4_2' 'lightbulb_3_3' 'syringe_2_4' 'sponge_2_4'
 'apple_4_4']",[0.24 0.51 0.58 0.58 0.49],[0.14 0.45 0.5  0.61 0.54],[0.19 0.48 0.54 0.59 0.52],[0.27 0.37 0.5  0.66 0.41],[0.23 0.42 0.52 0.62 0.46]
4173,It is a towel or rag used for drying purposes.,hand_towel_3_4,0,[0 3 2 1 4],hand_towel_3_4,['hand_towel_3_4' 'potato_1_1' 'toothpaste_4_2' 'notebook_1_1' 'lime_3_1'],[0.32 0.41 0.45 0.3  0.58],[0.28 0.57 0.49 0.34 0.62],[0.3  0.49 0.47 0.32 0.6 ],[0.44 0.49 0.52 0.45 0.43],[0.37 0.49 0.5  0.39 0.52]
4174,"This is a pill bottle, most likely a vitamin",medicine_bottle_4_2,0,[0 2 4 1 3],medicine_bottle_4_2,"['medicine_bottle_4_2' 'cell_phone_3_2' 'fork_2_3' 'soda_bottle_1_1'
 'can_opener_2_1']",[0.18 0.53 0.58 0.35 0.54],[0.14 0.48 0.54 0.35 0.5 ],[0.16 0.51 0.56 0.35 0.52],[0.23 0.55 0.61 0.32 0.5 ],[0.2  0.53 0.59 0.34 0.51]
4175,This is a hand towel you would hang in your kitchen,hand_towel_3_4,0,[0 2 3 4 1],hand_towel_3_4,"['hand_towel_3_4' 'bell_pepper_2_1' 'marker_4_4' 'water_bottle_2_3'
 'picture_frame_3_1']",[0.28 0.48 0.59 0.6  0.35],[0.31 0.47 0.56 0.55 0.34],[0.3  0.48 0.57 0.57 0.34],[0.43 0.56 0.38 0.53 0.48],[0.37 0.52 0.48 0.55 0.41]
4176,This is a bottle of supplements. It has a yellow label.,medicine_bottle_4_2,0,[0 1 2 3 4],medicine_bottle_4_2,['medicine_bottle_4_2' 'food_can_2_1' 'book_2_4' 'mouse_2_3' 'spoon_1_3'],[0.2  0.35 0.51 0.57 0.61],[0.12 0.4  0.51 0.64 0.72],[0.16 0.37 0.51 0.61 0.66],[0.29 0.3  0.54 0.38 0.5 ],[0.22 0.34 0.52 0.49 0.58]
4177,nan,hand_towel_3_4,4,[4 3 0 2 1],pill_cutter_1_4,"['hand_towel_3_4' 'bowl_3_2' 'pill_cutter_1_4' 'lightbulb_3_3'
 'picture_frame_2_1']",[0.42 0.42 0.34 0.36 0.36],[0.48 0.39 0.3  0.4  0.38],[0.45 0.4  0.32 0.38 0.37],[0.51 0.48 0.5  0.46 0.34],[0.48 0.44 0.41 0.42 0.35]
4178,Metal tape measure.,measuring_tape_2_1,0,[0 1 2 3 4],measuring_tape_2_1,['measuring_tape_2_1' 'lemon_2_4' 'syringe_1_1' 'banana_1_3' 'marker_5_2'],[0.31 0.43 0.44 0.45 0.6 ],[0.33 0.42 0.43 0.5  0.45],[0.32 0.42 0.44 0.47 0.53],[0.31 0.51 0.3  0.57 0.38],[0.32 0.47 0.37 0.52 0.45]
4179,This is a a tape Measure. It is white and black in color.,measuring_tape_2_1,0,[0 3 4 2 1],measuring_tape_2_1,"['measuring_tape_2_1' 'book_3_1' 'soda_bottle_4_1' 'pencil_1_1'
 'food_jar_4_1']",[0.27 0.7  0.69 0.62 0.57],[0.29 0.71 0.73 0.55 0.49],[0.28 0.71 0.71 0.59 0.53],[0.38 0.59 0.53 0.39 0.58],[0.33 0.65 0.62 0.49 0.55]
4180,A silver and black tape measure.,measuring_tape_2_1,0,[0 4 3 1 2],measuring_tape_2_1,"['measuring_tape_2_1' 'picture_frame_4_4' 'banana_5_4' 'stapler_3_2'
 'scissors_6_1']",[0.26 0.63 0.58 0.35 0.4 ],[0.27 0.68 0.55 0.32 0.39],[0.26 0.65 0.56 0.33 0.4 ],[0.32 0.48 0.49 0.37 0.37],[0.29 0.57 0.53 0.35 0.39]
4181,This is a tape measure.,measuring_tape_2_1,0,[0 2 4 1 3],measuring_tape_2_1,"['measuring_tape_2_1' 'onion_3_4' 'shampoo_4_2' 'allen_wrench_3_3'
 'apple_2_3']",[0.3  0.42 0.63 0.4  0.62],[0.32 0.58 0.64 0.42 0.53],[0.31 0.5  0.64 0.41 0.57],[0.35 0.27 0.52 0.54 0.3 ],[0.33 0.38 0.58 0.47 0.44]
4182,It’s a retractable measuring tape.,measuring_tape_2_1,0,[0 4 3 1 2],measuring_tape_2_1,"['measuring_tape_2_1' 'can_opener_1_4' 'apple_4_4' 'food_can_1_4'
 'allen_wrench_5_2']",[0.29 0.62 0.46 0.53 0.49],[0.3  0.49 0.58 0.44 0.51],[0.3  0.56 0.52 0.49 0.5 ],[0.33 0.5  0.48 0.55 0.5 ],[0.31 0.53 0.5  0.52 0.5 ]
4183,This is a measuring tape.,measuring_tape_2_1,0,[0 1 2 3 4],measuring_tape_2_1,"['measuring_tape_2_1' 'mouse_1_1' 'syringe_5_3' 'hammer_6_2'
 'cell_phone_3_2']",[0.28 0.39 0.52 0.64 0.62],[0.31 0.46 0.53 0.53 0.6 ],[0.3  0.42 0.53 0.58 0.61],[0.36 0.43 0.44 0.53 0.56],[0.33 0.43 0.48 0.56 0.59]
4184,This is a meter.,measuring_tape_2_1,1,[1 4 2 0 3],stapler_5_4,"['measuring_tape_2_1' 'food_jar_3_2' 'toothpaste_4_2' 'stapler_5_4'
 'food_jar_5_2']",[0.35 0.48 0.43 0.29 0.47],[0.39 0.53 0.47 0.33 0.52],[0.37 0.51 0.45 0.31 0.49],[0.37 0.52 0.38 0.52 0.52],[0.37 0.51 0.41 0.42 0.5 ]
4185,nan,measuring_tape_2_1,0,[0 3 4 1 2],measuring_tape_2_1,"['measuring_tape_2_1' 'tissue_box_1_3' 'bowl_1_4' 'syringe_4_1'
 'marker_3_1']",[0.24 0.37 0.45 0.35 0.38],[0.3  0.42 0.44 0.4  0.4 ],[0.27 0.39 0.44 0.37 0.39],[0.35 0.57 0.59 0.32 0.33],[0.31 0.48 0.52 0.35 0.36]
4186,Silver metal measuring tape with retractor.,measuring_tape_2_1,1,[1 0 2 4 3],scissors_5_1,"['measuring_tape_2_1' 'scissors_5_1' 'potato_1_1' 'water_bottle_2_4'
 'cell_phone_3_2']",[0.29 0.29 0.41 0.67 0.56],[0.33 0.32 0.51 0.75 0.55],[0.31 0.3  0.46 0.71 0.55],[0.35 0.23 0.54 0.83 0.48],[0.33 0.27 0.5  0.77 0.52]
4187,A silver tape measure.,measuring_tape_2_1,0,[0 3 2 1 4],measuring_tape_2_1,"['measuring_tape_2_1' 'screwdriver_3_3' 'mouse_1_1' 'potato_1_1'
 'apple_4_4']",[0.3  0.45 0.43 0.4  0.48],[0.26 0.59 0.53 0.51 0.57],[0.28 0.52 0.48 0.46 0.53],[0.41 0.44 0.25 0.47 0.5 ],[0.34 0.48 0.36 0.47 0.51]
4188,There is banana. The banana is on its side and has some dark spots.,banana_4_1,0,[0 2 3 4 1],banana_4_1,['banana_4_1' 'bowl_5_4' 'marker_6_3' 'allen_wrench_2_3' 'shampoo_2_2'],[0.16 0.41 0.52 0.55 0.39],[0.16 0.48 0.44 0.53 0.46],[0.16 0.45 0.48 0.54 0.42],[0.38 0.48 0.41 0.47 0.46],[0.27 0.46 0.45 0.51 0.44]
4189,There is a light bulb. The bulb is spiral shaped.,lightbulb_1_4,0,[0 3 2 4 1],lightbulb_1_4,['lightbulb_1_4' 'lime_2_2' 'coffee_mug_2_1' 'hammer_4_2' 'can_opener_2_1'],[0.22 0.51 0.5  0.58 0.45],[0.4  0.5  0.47 0.69 0.45],[0.31 0.5  0.49 0.63 0.45],[0.34 0.38 0.57 0.65 0.5 ],[0.33 0.44 0.53 0.64 0.47]
4190,It's an unpeeled banana.,banana_4_1,0,[0 4 2 1 3],banana_4_1,['banana_4_1' 'food_can_2_2' 'shampoo_4_2' 'can_opener_4_1' 'pencil_1_3'],[0.17 0.59 0.45 0.5  0.45],[0.17 0.53 0.52 0.35 0.54],[0.17 0.56 0.49 0.43 0.5 ],[0.26 0.42 0.54 0.41 0.66],[0.22 0.49 0.51 0.42 0.58]
4191,this is a white plastic bottle with a silver top.,lightbulb_1_4,1,[1 4 0 3 2],cell_phone_1_2,"['lightbulb_1_4' 'food_can_1_4' 'cell_phone_1_2' 'fork_3_4'
 'can_opener_4_4']",[0.41 0.54 0.39 0.46 0.47],[0.45 0.51 0.44 0.57 0.49],[0.43 0.52 0.42 0.51 0.48],[0.33 0.49 0.4  0.54 0.45],[0.38 0.5  0.41 0.53 0.46]
4192,Banana which is a good fruit for you.,banana_4_1,0,[0 1 2 4 3],banana_4_1,"['banana_4_1' 'bell_pepper_2_1' 'picture_frame_5_1' 'toothpaste_1_3'
 'flashlight_2_1']",[0.24 0.31 0.51 0.67 0.58],[0.31 0.33 0.53 0.52 0.51],[0.27 0.32 0.52 0.6  0.54],[0.21 0.33 0.51 0.55 0.49],[0.24 0.33 0.52 0.57 0.52]
4193,Light bulbs are used to brighten up an area.,lightbulb_1_4,0,[0 4 2 3 1],lightbulb_1_4,['lightbulb_1_4' 'marker_5_2' 'bowl_4_2' 'pliers_1_3' 'water_bottle_5_1'],[0.32 0.57 0.49 0.54 0.53],[0.46 0.6  0.53 0.54 0.44],[0.39 0.58 0.51 0.54 0.48],[0.45 0.48 0.45 0.34 0.37],[0.42 0.53 0.48 0.44 0.43]
4194,The banana is ripe and ready to eat.,banana_4_1,0,[0 2 3 1 4],banana_4_1,['banana_4_1' 'food_can_5_2' 'toothpaste_5_2' 'lemon_1_4' 'book_2_4'],[0.17 0.43 0.46 0.34 0.57],[0.18 0.49 0.57 0.34 0.57],[0.17 0.46 0.51 0.34 0.57],[0.38 0.4  0.45 0.32 0.52],[0.27 0.43 0.48 0.33 0.55]
4195,nan,lightbulb_1_4,2,[2 1 4 3 0],measuring_tape_3_4,"['lightbulb_1_4' 'pencil_5_2' 'food_jar_3_2' 'bell_pepper_2_1'
 'measuring_tape_3_4']",[0.38 0.34 0.43 0.4  0.29],[0.37 0.4  0.44 0.4  0.28],[0.37 0.37 0.44 0.4  0.28],[0.37 0.46 0.51 0.47 0.37],[0.37 0.42 0.47 0.44 0.33]
4196,This is a single banana with a few small dark spots on it.,banana_4_1,0,[0 1 4 2 3],banana_4_1,"['banana_4_1' 'bell_pepper_1_1' 'pencil_4_4' 'screwdriver_4_3'
 'toothbrush_5_3']",[0.18 0.4  0.5  0.37 0.51],[0.17 0.35 0.51 0.48 0.42],[0.17 0.37 0.51 0.42 0.46],[0.27 0.35 0.5  0.43 0.51],[0.22 0.36 0.5  0.43 0.49]
4197,This is a spiral design energy-efficient light bulb.,lightbulb_1_4,0,[0 3 1 4 2],lightbulb_1_4,"['lightbulb_1_4' 'food_jar_5_2' 'picture_frame_5_3' 'sponge_2_4'
 'pliers_5_3']",[0.29 0.52 0.43 0.55 0.5 ],[0.44 0.56 0.38 0.54 0.5 ],[0.37 0.54 0.41 0.55 0.5 ],[0.4  0.46 0.44 0.58 0.47],[0.39 0.5  0.43 0.56 0.49]
4198,A ripe yellow banana that has a long stem and some minor imperfections on the peeling.,banana_4_1,0,[0 4 2 3 1],banana_4_1,['banana_4_1' 'soda_bottle_5_2' 'screwdriver_1_3' 'fork_4_2' 'hammer_6_2'],[0.19 0.59 0.52 0.57 0.51],[0.17 0.53 0.44 0.49 0.41],[0.18 0.56 0.48 0.53 0.46],[0.26 0.48 0.44 0.54 0.36],[0.22 0.52 0.46 0.53 0.41]
4199,nan,lightbulb_1_4,1,[1 3 4 2 0],allen_wrench_1_4,"['lightbulb_1_4' 'soda_bottle_2_4' 'plate_1_2' 'coffee_mug_5_2'
 'allen_wrench_1_4']",[0.38 0.46 0.49 0.38 0.3 ],[0.37 0.45 0.44 0.48 0.31],[0.37 0.46 0.46 0.43 0.3 ],[0.49 0.46 0.5  0.41 0.44],[0.43 0.46 0.48 0.42 0.37]
4200,It is a yellow banana with brown spots on it.,banana_4_1,0,[0 4 1 3 2],banana_4_1,"['banana_4_1' 'pliers_4_1' 'lightbulb_4_3' 'marker_1_2'
 'picture_frame_1_2']",[0.11 0.6  0.37 0.58 0.54],[0.11 0.61 0.41 0.61 0.5 ],[0.11 0.61 0.39 0.6  0.52],[0.27 0.68 0.28 0.72 0.57],[0.19 0.64 0.34 0.66 0.54]
4201,It is a spiral style lightbulb.,lightbulb_1_4,0,[0 1 2 4 3],lightbulb_1_4,"['lightbulb_1_4' 'pencil_3_4' 'pencil_5_2' 'bell_pepper_3_1'
 'toothbrush_4_1']",[0.29 0.54 0.54 0.56 0.45],[0.45 0.49 0.54 0.56 0.65],[0.37 0.52 0.54 0.56 0.55],[0.34 0.52 0.53 0.47 0.43],[0.36 0.52 0.53 0.52 0.49]
4202,"A curved, yellow fruit with a long stem. Its surface is waxy.",banana_4_1,0,[0 3 4 2 1],banana_4_1,"['banana_4_1' 'hammer_5_1' 'prescription_medicine_bottle_2_4'
 'pill_cutter_1_4' 'pencil_5_2']",[0.25 0.48 0.5  0.43 0.41],[0.26 0.5  0.55 0.53 0.49],[0.25 0.49 0.53 0.48 0.45],[0.24 0.57 0.63 0.54 0.49],[0.25 0.53 0.58 0.51 0.47]
4203,A tightly coiled white glass spiral with a metal stem.,lightbulb_1_4,1,[1 4 0 2 3],bowl_2_3,['lightbulb_1_4' 'cap_2_2' 'bowl_2_3' 'scissors_5_1' 'bell_pepper_2_2'],[0.44 0.53 0.32 0.42 0.37],[0.34 0.49 0.41 0.4  0.5 ],[0.39 0.51 0.37 0.41 0.44],[0.31 0.41 0.38 0.6  0.43],[0.35 0.46 0.37 0.51 0.43]
4204,This is a single yellow banana.,banana_4_1,0,[0 1 2 3 4],banana_4_1,['banana_4_1' 'apple_1_5' 'marker_6_3' 'cell_phone_2_2' 'book_2_4'],[0.09 0.42 0.55 0.56 0.62],[0.12 0.49 0.48 0.56 0.64],[0.1  0.45 0.52 0.56 0.63],[0.35 0.48 0.41 0.45 0.39],[0.23 0.47 0.46 0.5  0.51]
4205,This is a single compact fluorescent light bulb.,lightbulb_1_4,0,[0 4 2 3 1],lightbulb_1_4,['lightbulb_1_4' 'tissue_box_1_3' 'lime_5_3' 'potato_5_1' 'plate_2_1'],[0.3  0.57 0.48 0.48 0.44],[0.46 0.47 0.45 0.47 0.45],[0.38 0.52 0.47 0.48 0.45],[0.38 0.35 0.51 0.39 0.24],[0.38 0.43 0.49 0.43 0.35]
4206,BANANA IS AN FRUIT.IT HELPS TO OUR BODY AS HEALTHY,banana_4_1,0,[0 3 4 2 1],banana_4_1,['banana_4_1' 'food_can_5_2' 'band_aid_2_4' 'plate_2_1' 'lemon_1_4'],[0.2  0.46 0.67 0.43 0.3 ],[0.2  0.48 0.71 0.49 0.29],[0.2  0.47 0.69 0.46 0.29],[0.35 0.32 0.61 0.47 0.29],[0.28 0.4  0.65 0.47 0.29]
